userid,date,mood,circumplex.arousal
AS14.19,2014-03-21,5.0
AS14.19,2014-03-22,7.0
AS14.19,2014-03-23,7.0
AS14.19,2014-03-24,6.0
AS14.19,2014-03-25,6.0
AS14.19,2014-03-26,6.0
AS14.19,2014-03-27,7.0
AS14.19,2014-03-28,7.0
AS14.19,2014-03-29,7.0
AS14.19,2014-03-30,7.0
AS14.19,2014-03-31,7.0
AS14.19,2014-04-01,6.0
AS14.19,2014-04-02,8.0
AS14.19,2014-04-03,7.0
AS14.19,2014-04-04,7.0
AS14.19,2014-04-05,8.0
AS14.19,2014-04-06,7.0
AS14.19,2014-04-07,7.0
AS14.19,2014-04-08,7.0
AS14.19,2014-04-09,7.0
AS14.19,2014-04-10,7.0
AS14.19,2014-04-11,7.0
AS14.19,2014-04-12,7.0
AS14.19,2014-04-13,7.0
AS14.19,2014-04-14,7.0
AS14.19,2014-04-15,6.0
AS14.19,2014-04-16,7.0
AS14.19,2014-04-17,7.0
AS14.19,2014-04-18,7.0
AS14.19,2014-04-19,7.0
AS14.19,2014-04-20,8.0
AS14.19,2014-04-21,6.0
AS14.19,2014-04-22,7.0
AS14.19,2014-04-23,6.0
AS14.19,2014-04-24,7.0
AS14.19,2014-04-25,7.0
AS14.19,2014-04-26,8.0
AS14.19,2014-04-27,6.0
AS14.19,2014-04-28,6.0
AS14.19,2014-04-29,7.0
AS14.19,2014-04-30,7.0
AS14.19,2014-05-01,7.0
AS14.19,2014-05-02,8.0
AS14.19,2014-05-03,7.0
AS14.19,2014-05-04,7.0
AS14.19,2014-05-05,7.0
AS14.25,2014-04-08,8.0
AS14.25,2014-04-09,7.0
AS14.25,2014-04-10,6.0
AS14.25,2014-04-11,8.0
AS14.25,2014-04-12,7.0
AS14.25,2014-04-13,7.0
AS14.25,2014-04-14,6.0
AS14.25,2014-04-15,6.0
AS14.25,2014-04-16,7.0
AS14.25,2014-04-17,6.0
AS14.25,2014-04-18,6.0
AS14.25,2014-04-19,8.0
AS14.25,2014-04-20,7.0
AS14.25,2014-04-21,7.0
